project_id,acronym,startDate,title,topic,coordinator,country,city,orgURL,contactForm,objective_snippet,ecMaxContribution,projectURL
101293990,e-genesis,2026-11-01,Generating Earth iNtelligence for Environmental and Sectoral Impact and Sustainability,HORIZON-CL6-2025-03-GOVERNANCE-09,ETHNIKO ASTEROSKOPEIO ATHINON,EL,ATHINA,http://www.noa.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999653677/101293990,"E-genesis operationalises Earth Intelligence by transforming Earth Observation, Artificial Intelligence and emerging digital technologies into actionable insights that support EU policy implementation and strategic decision-making. It develops, scales, and demonstrates integrated solutions that stre","7499747,5",https://cordis.europa.eu/project/id/101293990
101287608,NextBON,2026-10-01,Next Generation Biodiversity Observation Network,HORIZON-CL6-2025-01-BIODIV-04,KOBENHAVNS UNIVERSITET,DK,KOBENHAVN,http://www.ku.dk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991043/101287608,"Biodiversity is declining across terrestrial, marine, and freshwater ecosystems. Current monitoring is fragmented, with gaps, inconsistent methods, and limited interoperability, constraining evidence-based conservation. Meeting EU Biodiversity Strategy 2030, Nature Restoration Regulation, and Kunmin",10999230,https://cordis.europa.eu/project/id/101287608
101289878,DigiWaves,2026-10-01,"Towards transparent and sustainable European fisheries through digital innovation in monitoring, control and surveillance",HORIZON-CL6-2025-02-FARM2FORK-11,EIGEN VERMOGEN VAN HET INSTITUUT VOOR LANDBOUW- EN VISSERIJONDERZOEK,BE,Merelbeke,http://www.ilvo.vlaanderen.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998175591/101289878,"DigiWaves will strive to accelerate the transition of European small-scale, long-distance and recreational fisheries towards data-driven management, monitoring and control systems. The project addresses the technical, behavioral, socio-economic challenges of using data as a key driver and enabler of","6049787,63",https://cordis.europa.eu/project/id/101289878
101294684,GROWT5,2026-10-01,Guided Robotic-human Orchestration with Wearables for manufacturing: Twin Transition Through Tactile Teaming,HORIZON-CL4-INDUSTRY-2025-01-TWIN-TRANSITION-02,UNIVERSITA CAMPUS BIO MEDICO DI ROMA,IT,Roma,http://www.unicampus.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999440665/101294684,"GROWT5 aims to develop the first multimodal and bidirectional wearable co-pilot system for physical and cognitive augmentation in advanced manufacturing, fostering a safer, adaptive, and worker-empowering production environment. The project addresses the transition toward safe human–robot factories ","5999767,56",https://cordis.europa.eu/project/id/101294684
101295859,BIOEASTWIDE,2026-10-01,Strengthening of the BIOEAST bioeconomy R&I ecosystem through WIDEning activities and building a partnership for bioeconomy (BIOEASTWIDE),HORIZON-CL6-2025-03-GOVERNANCE-07,AGRAREN UNIVERSITET - PLOVDIV,BG,Plovdiv,https://www.au-plovdiv.bg,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999870278/101295859,The BIOEASTWIDE project aims to leverage from existing structures and project experiences in order to outline a strategy that strengthens the ERA by advancing the bioeconomy R&I ecosystem across CEE countries called the BIOEASTWIDE partnership. The BIOEASTWIDE partnership will drive this effort thro,"3999562,56",https://cordis.europa.eu/project/id/101295859
101296094,Libfish,2026-10-01,Low Impact Bottom Fishing,HORIZON-MISS-2025-03-OCEAN-03,COOPERATIVA DE ARMADORES DE PESCA DEL PUERTO DE VIGO,ES,VIGO,http://www.arvi.org,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/957644141/101296094,"The LIBFISH project aims to transform fisheries by reducing the environmental impact of fishing vessels. It pioneers a shift in bottom trawling by integrating advanced digitalisation, hybrid propulsion, and precision-controlled fishing. Addressing one of the most energy-intensive and disruptive prac","5770286,88",https://cordis.europa.eu/project/id/101296094
101299049,COMBO,2026-10-01,"Compliance Bot: Automated, Multilingual Compliance Assistance Powered by LDS",HORIZON-CL4-2025-03-DATA-13,DEUTSCHES FORSCHUNGSZENTRUM FUR KUNSTLICHE INTELLIGENZ GMBH,DE,Kaiserslautern,http://www.dfki.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999607602/101299049,"Compliance with EU regulation is becoming a hindrance for innovation, especially for SMEs. To address this, COMBO will develop, validate and demonstrate an innovative multilingual, agentic AI-driven compliance assistance system, scaling core components from TRL 5-6 to TRL 8. The project will deliver","8999687,5",https://cordis.europa.eu/project/id/101299049
101298559,GAINAfrica,2026-10-01,Generative Artificial INtelligence for Africa,HORIZON-CL4-2025-04-HUMAN-08,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,IT,Roma,http://www.uniroma1.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999987745/101298559,"GAINAfrica proposes a new approach to locally-adapted Generative AI addressing societal needs in African regions. The project develops inclusive, low-resource GenAI models for agriculture, healthcare, education, and infrastructure and urban planning by adopting multilingual, mobile-friendly, and cul",2000000,https://cordis.europa.eu/project/id/101298559
101286996,ALT-PROACT,2026-09-01,"ALTernative PROteins – Awareness, Co-creation, Transformation",HORIZON-CL6-2025-02-FARM2FORK-13,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,AT,WIEN,http://www.ait.ac.at/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999584128/101286996,"ALT PROACT aims to foster a socially inclusive, science based and culturally contextualised introduction of biotech based alternative proteins, supporting sustainable dietary shifts for citizens and society as a whole. The project contributes to Horizon Europe goals on raising citizen awareness of a","1998545,36",https://cordis.europa.eu/project/id/101286996
101269441,UNCOVER,2026-09-01,"UNlocking the industrial COVERsion of CO2 into renewable, long-lasting and hybrid products",HORIZON-CL5-2025-02-D3-27,INSTITUTO TECNOLOGICO DE ARAGON,ES,ZARAGOZA,https://www.ita.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999509341/101269441,CCU plays a strategic role in climate mitigation and the circular carbon economy by replacing fossil feedstocks in industry. UNCOVER will advance this potential by demonstrating the scalability and sustainability of 6 breakthrough CO2 conversion technologies (CCTs) and 1 secondary conversion technol,"6997838,39",https://cordis.europa.eu/project/id/101269441
